element_type,osmid,name,shop,geometry,amenity,name:ru,operator,phone,website,nodes,addr:city,addr:country,addr:housenumber,addr:region,addr:street,building,tourism,building:levels,smoking,denomination,historic,religion,leisure,opening_hours,abandoned,abandoned:cafe,description,office,branch,brand:wikidata,brand:wikipedia,contact:facebook,contact:instagram,contact:ok,contact:phone,contact:twitter,contact:vk,contact:website,name:en,ref,wheelchair,abandoned:shop,abandoned:building,aeroway,club,power,ways,type
way,625281596,,,"POLYGON ((37.2598885 58.669518, 37.2599997 58.6695254, 37.2600064 58.6694984, 37.2598951 58.669491, 37.2598885 58.669518))",,,,,,"[5903954225, 5903954226, 5903954227, 5903954228, 5903954225]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281597,,,"POLYGON ((37.2600179 58.6695283, 37.2601437 58.6695374, 37.2601522 58.669506, 37.2600263 58.6694969, 37.2600179 58.6695283))",,,,,,"[5903954229, 5903954230, 5903954231, 5903954232, 5903954229]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281598,,,"POLYGON ((37.259401 58.6696354, 37.259631 58.6696504, 37.2596428 58.6696014, 37.2597022 58.6696052, 37.2597128 58.6695612, 37.2595159 58.6695484, 37.2595088 58.6695782, 37.2594162 58.6695722, 37.259401 58.6696354))",,,,,,"[5903954233, 5903954234, 5903954235, 5903954236, 5903954237, 5903954238, 5903954239, 5903954240, 5903954233]",,,7,,Советская улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281600,,,"POLYGON ((37.2598588 58.6696664, 37.259965 58.6696732, 37.2599856 58.6695855, 37.2598795 58.6695787, 37.2598632 58.6696478, 37.2598588 58.6696664))",,,,,,"[5903954242, 5903954243, 5903954244, 5903954245, 5903954241, 5903954242]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281601,,,"POLYGON ((37.2593412 58.6698743, 37.259524 58.6698862, 37.2595429 58.6698072, 37.2593601 58.6697953, 37.2593412 58.6698743))",,,,,,"[5903954246, 5903954247, 5903954248, 5903954249, 5903954246]",,,5,,Советская улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281602,,,"POLYGON ((37.2597975 58.6699042, 37.2599191 58.6699137, 37.2599405 58.6698398, 37.2598189 58.6698302, 37.2597975 58.6699042))",,,,,,"[5903954250, 5903954251, 5903954252, 5903954253, 5903954250]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281604,,,"POLYGON ((37.2593242 58.6699739, 37.2593869 58.6699785, 37.2593939 58.6699528, 37.2593311 58.6699482, 37.2593242 58.6699739))",,,,,,"[5903954256, 5903954257, 5903954258, 5903954259, 5903954256]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281605,,,"POLYGON ((37.259607 58.6700004, 37.2597073 58.6700075, 37.259716 58.669974, 37.2596157 58.6699669, 37.259607 58.6700004))",,,,,,"[5903954260, 5903954261, 5903954262, 5903954263, 5903954260]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281606,,,"POLYGON ((37.259282 58.6701573, 37.2595147 58.6701726, 37.2595249 58.6701308, 37.2592922 58.6701155, 37.259282 58.6701573))",,,,,,"[5903954264, 5903954265, 5903954266, 5903954267, 5903954264]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281607,,,"POLYGON ((37.2595409 58.6701418, 37.2597167 58.6701538, 37.2597393 58.6700645, 37.2595636 58.6700524, 37.2595409 58.6701418))",,,,,,"[5903954268, 5903954269, 5903954270, 5903954271, 5903954268]",,,3,,Советская улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281608,,,"POLYGON ((37.2591808 58.6705244, 37.2594457 58.6705432, 37.2594689 58.670455, 37.2592935 58.6704425, 37.2592844 58.6704771, 37.2591948 58.6704708, 37.2591808 58.6705244))",,,,,,"[5903954272, 5903954273, 5903954274, 5903954275, 5903954276, 5903954277, 5903954272]",,,1/14,,Советская улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281609,,,"POLYGON ((37.2595337 58.6705635, 37.2596284 58.6705706, 37.2596703 58.6704194, 37.2595125 58.6704076, 37.2594975 58.6704617, 37.2595606 58.6704664, 37.2595337 58.6705635))",,,,,,"[5903954278, 5903954279, 5903954280, 5903954281, 5903954282, 5903954283, 5903954278]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281610,,,"POLYGON ((37.2594315 58.6703998, 37.2594989 58.6704043, 37.2595058 58.6703761, 37.2594384 58.6703716, 37.2594315 58.6703998))",,,,,,"[5903954284, 5903954285, 5903954286, 5903954287, 5903954284]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281611,,,"POLYGON ((37.2598081 58.6705919, 37.259931 58.6706029, 37.2599822 58.6704483, 37.2598131 58.6704332, 37.2597768 58.670543, 37.2598229 58.6705472, 37.2598081 58.6705919))",,,,,,"[5903954288, 5903954289, 5903954290, 5903954291, 5903954292, 5903954293, 5903954288]",,,16,,улица Льва Толстого,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281612,,,"POLYGON ((37.2600751 58.6704073, 37.26012 58.6704104, 37.2601389 58.6703356, 37.2600941 58.6703326, 37.2600751 58.6704073))",,,,,,"[5903954294, 5903954295, 5903954296, 5903954297, 5903954294]",,,,,,greenhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281613,,,"POLYGON ((37.2596757 58.6704609, 37.2597492 58.6704662, 37.2597748 58.6703701, 37.2597013 58.6703648, 37.2596757 58.6704609))",,,,,,"[5903954298, 5903954299, 5903954300, 5903954301, 5903954298]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281614,,,"POLYGON ((37.2596612 58.6705095, 37.2597098 58.6705133, 37.2597229 58.6704682, 37.2596743 58.6704644, 37.2596612 58.6705095))",,,,,,"[5903954302, 5903954303, 5903954304, 5903954305, 5903954302]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281615,,,"POLYGON ((37.2601208 58.6705972, 37.2601895 58.6706024, 37.2602038 58.6705509, 37.2601352 58.6705457, 37.2601208 58.6705972))",,,,,,"[5903954306, 5903954307, 5903954308, 5903954309, 5903954306]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281616,,,"POLYGON ((37.2602763 58.670633, 37.26049 58.6706511, 37.2605086 58.6705917, 37.2604353 58.6705855, 37.2604402 58.6705699, 37.2604093 58.6705586, 37.2603677 58.6705638, 37.2603625 58.6705806, 37.2602946 58.6705748, 37.2602763 58.670633))",,,,,,"[5903954310, 5903954311, 5903954312, 5903954316, 5903954314, 5903954318, 5903954317, 5903954315, 5903954313, 5903954310]",,,2/18,,улица Кирова,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281617,,,"POLYGON ((37.2604353 58.6701706, 37.2606115 58.6701829, 37.2606351 58.6700913, 37.2604589 58.670079, 37.2604353 58.6701706))",,,,,,"[5903954319, 5903954320, 5903954321, 5903954322, 5903954319]",,,4,,улица Кирова,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281618,,,"POLYGON ((37.2603316 58.6700517, 37.2604163 58.670057, 37.2604258 58.6700153, 37.2604374 58.6699649, 37.2603876 58.6699619, 37.2603817 58.6699875, 37.2603468 58.6699854, 37.2603404 58.6700129, 37.2603316 58.6700517))",,,,,,"[5903954323, 5903954324, 5903954334, 5903954325, 5903954326, 5903954327, 5903954328, 5903954333, 5903954323]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281619,,,"POLYGON ((37.2604348 58.6700486, 37.2605153 58.6700553, 37.2605242 58.6700263, 37.2604438 58.6700196, 37.2604348 58.6700486))",,,,,,"[5903954329, 5903954330, 5903954331, 5903954332, 5903954329]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281622,,,"POLYGON ((37.2603655 58.669959, 37.2603835 58.6698963, 37.2603085 58.6698905, 37.2602905 58.6699532, 37.2603655 58.669959))",,,,,,"[5903954336, 5903954337, 5903954338, 5903954339, 5903954336]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281623,,,"POLYGON ((37.2604274 58.6699562, 37.2605797 58.6699667, 37.2605839 58.6699503, 37.26067 58.6699562, 37.260688 58.6698857, 37.2604495 58.6698693, 37.2604274 58.6699562))",,,,,,"[5903954340, 5903954341, 5903954342, 5903954343, 5903954344, 5903954345, 5903954340]",,,6,,улица Кирова,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281624,,,"POLYGON ((37.2605863 58.669871, 37.2606903 58.6698778, 37.2607037 58.6698224, 37.2605997 58.6698156, 37.2605863 58.669871))",,,,,,"[5903954346, 5903954347, 5903954348, 5903954349, 5903954346]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625281626,,,"POLYGON ((37.2602055 58.6698233, 37.2602858 58.6698301, 37.260298 58.6697916, 37.2602177 58.6697847, 37.2602055 58.6698233))",,,,,,"[5903954351, 5903954352, 5903954353, 5903954354, 5903954351]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283661,,,"POLYGON ((37.2605493 58.6698015, 37.2606979 58.6698118, 37.2607024 58.6697943, 37.2605538 58.669784, 37.2605493 58.6698015))",,,,,,"[5903995005, 5903995006, 5903995007, 5903995008, 5903995005]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283663,,,"POLYGON ((37.2605454 58.6697353, 37.2606893 58.6697456, 37.2606946 58.6697256, 37.260727 58.6697279, 37.2607453 58.6696587, 37.260569 58.669646, 37.2605454 58.6697353))",,,,,,"[5903995009, 5903995010, 5903995011, 5903995012, 5903995013, 5903995014, 5903995009]",,,8,,улица Кирова,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283665,,,"POLYGON ((37.2602136 58.6696868, 37.2603001 58.6696938, 37.2603186 58.6696323, 37.2602321 58.6696252, 37.2602136 58.6696868))",,,,,,"[5903995015, 5903995016, 5903995017, 5903995018, 5903995015]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283667,,,"POLYGON ((37.2602907 58.669438, 37.2603651 58.6694446, 37.26039 58.6693682, 37.2603156 58.6693616, 37.2602907 58.669438))",,,,,,"[5903995019, 5903995020, 5903995021, 5903995022, 5903995019]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283668,,,"POLYGON ((37.260641 58.6694849, 37.2607665 58.6694948, 37.2607711 58.6694787, 37.2607946 58.6694805, 37.2608199 58.6693936, 37.2606517 58.6693804, 37.2606259 58.669469, 37.2606452 58.6694705, 37.260641 58.6694849))",,,,,,"[5903995023, 5903995024, 5903995025, 5903995026, 5903995027, 5903995028, 5903995029, 5903995030, 5903995023]",,,10,,улица Кирова,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283671,,,"POLYGON ((37.2605956 58.6690896, 37.2606911 58.6690961, 37.2606943 58.6690834, 37.2608109 58.6690914, 37.2608083 58.6691019, 37.2609073 58.6691086, 37.2609322 58.6690098, 37.2606211 58.6689886, 37.2605956 58.6690896))",,,,,,"[5903995031, 5903995032, 5903995033, 5903995034, 5903995035, 5903995036, 5903995037, 5903995038, 5903995031]",,,,,,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283673,,,"POLYGON ((37.2601562 58.6690687, 37.2603435 58.6690827, 37.2603552 58.6690403, 37.2603221 58.6690379, 37.2603406 58.6689707, 37.2601865 58.6689592, 37.2601562 58.6690687))",,,,,,"[5903995039, 5903995040, 5903995041, 5903995042, 5903995043, 5903995044, 5903995039]",,,15,,улица Скобникова,construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283675,,,"POLYGON ((37.2603948 58.6690543, 37.2604764 58.6690594, 37.2604944 58.6689823, 37.2604128 58.6689771, 37.2603948 58.6690543))",,,,,,"[5903995045, 5903995046, 5903995047, 5903995048, 5903995045]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625283681,,,"POLYGON ((37.2595806 58.6690812, 37.2596752 58.6690879, 37.2596852 58.6690496, 37.2595906 58.6690429, 37.2595806 58.6690812))",,,,,,"[5903995050, 5903995051, 5903995052, 5903995053, 5903995050]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288635,,,"POLYGON ((37.2612037 58.6703502, 37.2613263 58.6703661, 37.2613658 58.6702835, 37.2612433 58.6702677, 37.2612037 58.6703502))",,,,,,"[5904038718, 5904038719, 5904038720, 5904038721, 5904038718]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288636,,,"POLYGON ((37.2612709 58.6701182, 37.2614625 58.6701372, 37.2614442 58.6701872, 37.2616191 58.6702045, 37.2616383 58.6701521, 37.2618147 58.6701696, 37.2618452 58.6700865, 37.261418 58.6700441, 37.2613023 58.6700326, 37.2612709 58.6701182))",,,,,,"[5904038722, 5904038727, 5904038729, 5904038730, 5904038728, 5904038723, 5904038724, 5904038726, 5904038725, 5904038722]",,,52Б,,улица Карла Маркса,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288637,,,"POLYGON ((37.2614461 58.6704045, 37.2616947 58.6704436, 37.2617404 58.6703647, 37.2614918 58.6703257, 37.2614461 58.6704045))",,,,,,"[5904038731, 5904038732, 5904038733, 5904038734, 5904038731]",,,52А,,улица Карла Маркса,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288638,,,"POLYGON ((37.2607869 58.6706756, 37.2610791 58.670696, 37.2610909 58.6706502, 37.2609427 58.6706398, 37.2609687 58.6705392, 37.2608247 58.6705291, 37.2607869 58.6706756))",,,,,,"[5904038735, 5904038736, 5904038740, 5904038739, 5904038737, 5904038738, 5904038735]",,,,,,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288639,,,"POLYGON ((37.2610839 58.6707093, 37.2611403 58.6707137, 37.2611532 58.6706691, 37.2610968 58.6706647, 37.2610839 58.6707093))",,,,,,"[5904038741, 5904038742, 5904038743, 5904038744, 5904038741]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288640,,,"POLYGON ((37.2612348 58.6707134, 37.2614667 58.6707492, 37.2615154 58.6706637, 37.26156 58.6706706, 37.2616024 58.6705961, 37.261554 58.6705886, 37.2615668 58.6705662, 37.2613389 58.670531, 37.2612348 58.6707134))",,,,,,"[5904038745, 5904038746, 5904038747, 5904039070, 5904038748, 5904038749, 5904038750, 5904038751, 5904038745]",,,50,,улица Карла Маркса,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288641,,,"POLYGON ((37.2608962 58.670353, 37.2610195 58.6703646, 37.2610545 58.6702641, 37.2609312 58.6702525, 37.2608962 58.670353))",,,,,,"[5904038752, 5904038753, 5904038754, 5904038755, 5904038752]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288642,,,"POLYGON ((37.2610628 58.6699034, 37.2612503 58.6699173, 37.2612718 58.6698388, 37.2610843 58.6698249, 37.2610628 58.6699034))",,,,,,"[5904038756, 5904038757, 5904038758, 5904038759, 5904038756]",,,,,,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288643,,,"POLYGON ((37.2613442 58.6698421, 37.261444 58.6698515, 37.2614581 58.6698106, 37.2613583 58.6698013, 37.2613442 58.6698421))",,,,,,"[5904038760, 5904038761, 5904038762, 5904038763, 5904038760]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288644,,,"POLYGON ((37.2614787 58.6697818, 37.261532 58.6697877, 37.2615496 58.6697449, 37.2614962 58.669739, 37.2614787 58.6697818))",,,,,,"[5904038764, 5904038765, 5904038766, 5904038767, 5904038764]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288645,,,"POLYGON ((37.2611457 58.6695731, 37.2614236 58.669589, 37.2614366 58.6695273, 37.261362 58.6695231, 37.2613667 58.6695011, 37.2612498 58.6694944, 37.2612464 58.6695109, 37.2611599 58.669506, 37.2611457 58.6695731))",,,,,,"[5904038768, 5904038769, 5904038770, 5904038771, 5904038772, 5904038773, 5904038774, 5904038775, 5904038768]",,,,,,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288646,,,"POLYGON ((37.2614003 58.6694403, 37.261482 58.6694476, 37.2614856 58.6694365, 37.2615148 58.6694391, 37.2615248 58.6694089, 37.2614139 58.669399, 37.2614003 58.6694403))",,,,,,"[5904038776, 5904038777, 5904038778, 5904038779, 5904038780, 5904038781, 5904038776]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288647,,,"POLYGON ((37.2615292 58.6694396, 37.2616213 58.6694479, 37.2616315 58.6694175, 37.2615394 58.6694092, 37.2615292 58.6694396))",,,,,,"[5904038782, 5904038783, 5904038784, 5904038985, 5904038782]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288648,,,"POLYGON ((37.2616417 58.6695945, 37.2617134 58.6696054, 37.2617429 58.669553, 37.2616712 58.6695421, 37.2616417 58.6695945))",,,,,,"[5904038986, 5904038987, 5904038988, 5904038989, 5904038986]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288649,,,"POLYGON ((37.2617695 58.6699792, 37.2618692 58.6699952, 37.2618817 58.6699743, 37.2619661 58.6699879, 37.2619992 58.6699323, 37.261934 58.6699218, 37.2619475 58.6698991, 37.2618285 58.66988, 37.2617695 58.6699792))",,,,,,"[5904038990, 5904038991, 5904038992, 5904038993, 5904038994, 5904038995, 5904038996, 5904038997, 5904038990]",,,52,,улица Карла Маркса,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288650,,,"POLYGON ((37.2617481 58.6698234, 37.2618506 58.6698388, 37.2618795 58.669787, 37.261777 58.6697715, 37.2617481 58.6698234))",,,,,,"[5904038998, 5904038999, 5904039000, 5904039001, 5904038998]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288651,,,"POLYGON ((37.2615715 58.6697335, 37.2616524 58.6697448, 37.2616656 58.6697195, 37.2615847 58.6697082, 37.2615715 58.6697335))",,,,,,"[5904039002, 5904039003, 5904039004, 5904039005, 5904039002]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288652,,,"POLYGON ((37.2618878 58.6696649, 37.2619124 58.669624, 37.2618595 58.6696154, 37.2618349 58.6696563, 37.2618878 58.6696649))",,,,,,"[5904039006, 5904039007, 5904039008, 5904039009, 5904039006]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288653,,,"POLYGON ((37.2619335 58.6696896, 37.2620383 58.6697073, 37.2620567 58.6696777, 37.2621464 58.6696928, 37.2621849 58.6696309, 37.2620928 58.6696154, 37.2621087 58.6695899, 37.2620064 58.6695727, 37.2619335 58.6696896))",,,,,,"[5904039010, 5904039011, 5904039012, 5904039013, 5904039014, 5904039015, 5904039016, 5904039017, 5904039010]",,,54,,улица Карла Маркса,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288655,,,"POLYGON ((37.261759 58.6697159, 37.2618051 58.6697231, 37.261818 58.6697004, 37.2617719 58.6696933, 37.261759 58.6697159))",,,,,,"[5904039018, 5904039019, 5904039020, 5904039021, 5904039018]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288657,,,"POLYGON ((37.2620478 58.6693996, 37.2623039 58.6694434, 37.2623447 58.6693789, 37.2620886 58.6693351, 37.2620478 58.6693996))",,,,,,"[5904039022, 5904039023, 5904039024, 5904039025, 5904039022]",,,56,,улица Карла Маркса,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288658,,,"POLYGON ((37.2621513 58.6692912, 37.2622452 58.6693034, 37.2622624 58.6692676, 37.2621685 58.6692554, 37.2621513 58.6692912))",,,,,,"[5904039026, 5904039027, 5904039028, 5904039029, 5904039026]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288659,,,"POLYGON ((37.2618853 58.669263, 37.2620931 58.6692824, 37.2621041 58.6692504, 37.2618963 58.669231, 37.2618853 58.669263))",,,,,,"[5904039030, 5904039031, 5904039032, 5904039033, 5904039030]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288660,,,"POLYGON ((37.2617304 58.6691176, 37.2618166 58.669123, 37.2618314 58.6690596, 37.2617451 58.6690541, 37.2617304 58.6691176))",,,,,,"[5904039034, 5904039035, 5904039036, 5904039037, 5904039034]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288661,,,"POLYGON ((37.2622285 58.6691335, 37.2623147 58.669149, 37.2622965 58.6691764, 37.2624552 58.6692049, 37.262506 58.6691285, 37.2622611 58.6690844, 37.2622285 58.6691335))",,,,,,"[5904039038, 5904039039, 5904039040, 5904039041, 5904039042, 5904039043, 5904039038]",,,58/21,,улица Карла Маркса,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288662,,,"POLYGON ((37.2620441 58.6691624, 37.2620859 58.6691703, 37.2621008 58.669149, 37.262059 58.6691411, 37.2620441 58.6691624))",,,,,,"[5904039044, 5904039045, 5904039046, 5904039047, 5904039044]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288663,,,"POLYGON ((37.2612897 58.6691819, 37.2615427 58.6692009, 37.2615705 58.669101, 37.2613175 58.669082, 37.2612897 58.6691819))",,,,,,"[5904039048, 5904039049, 5904039050, 5904039051, 5904039048]",,,,,,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288665,,,"POLYGON ((37.2612002 58.6693244, 37.2612788 58.6693283, 37.2612863 58.6692872, 37.2612078 58.6692833, 37.2612002 58.6693244))",,,,,,"[5904039052, 5904039053, 5904039054, 5904039055, 5904039052]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288667,,,"POLYGON ((37.2615852 58.6693963, 37.2616533 58.6694003, 37.261686 58.6692482, 37.2616179 58.6692442, 37.2615852 58.6693963))",,,,,,"[5904039056, 5904039057, 5904039058, 5904039059, 5904039056]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288669,,,"POLYGON ((37.2616294 58.6691362, 37.2617036 58.66914, 37.2617121 58.6690945, 37.2616379 58.6690907, 37.2616294 58.6691362))",,,,,,"[5904039060, 5904039061, 5904039062, 5904039063, 5904039060]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625288672,,,"POLYGON ((37.2616353 58.6691751, 37.2616848 58.6691776, 37.2616905 58.6691469, 37.261641 58.6691445, 37.2616353 58.6691751))",,,,,,"[5904039064, 5904039065, 5904039066, 5904039067, 5904039064]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292486,,,"POLYGON ((37.2600589 58.6741426, 37.2602682 58.6741908, 37.2603049 58.6741478, 37.2606754 58.6742331, 37.2607172 58.6741841, 37.2608396 58.6742123, 37.2608838 58.6741604, 37.2607584 58.6741315, 37.260785 58.6741003, 37.2605241 58.6740403, 37.2604963 58.6740729, 37.2601803 58.6740001, 37.2600589 58.6741426))",,,,,,"[5904083224, 5904083225, 5904083226, 5904083227, 5904083272, 5904083275, 5904083274, 5904083273, 5904083228, 5904083229, 5904083230, 5904083231, 5904083224]",,,,,,yes,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292491,,,"POLYGON ((37.2587514 58.6760887, 37.2588397 58.6760894, 37.2588416 58.6760273, 37.2587533 58.6760265, 37.2587514 58.6760887))",,,,,,"[5904083252, 5904083253, 5904083254, 5904083255, 5904083252]",,,25,,улица Карла Маркса,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292494,,,"POLYGON ((37.2586394 58.6760289, 37.258742 58.6760293, 37.2587426 58.6759909, 37.2586399 58.6759905, 37.2586394 58.6760289))",,,,,,"[5904083256, 5904083257, 5904083258, 5904083259, 5904083256]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292496,,,"POLYGON ((37.2588736 58.675927, 37.2589506 58.6759293, 37.2589558 58.6758829, 37.2588788 58.6758806, 37.2588736 58.675927))",,,,,,"[5904083260, 5904083261, 5904083263, 5904083262, 5904083260]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292500,,,"POLYGON ((37.2602029 58.6742754, 37.2605114 58.6743473, 37.2605547 58.6742971, 37.2602461 58.6742253, 37.2602029 58.6742754))",,,,,,"[5904083276, 5904083277, 5904083278, 5904083279, 5904083276]",,,,,,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292505,,,"POLYGON ((37.2606702 58.6744749, 37.2607983 58.6745063, 37.2609122 58.6743805, 37.260684 58.6743247, 37.2605956 58.6744223, 37.2606957 58.6744468, 37.2606702 58.6744749))",,,,,,"[5904083284, 5904098785, 5904098786, 5904098787, 5904098788, 5904098789, 5904083284]",,,37Б,,улица Карла Маркса,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292507,,,"POLYGON ((37.2608138 58.6744952, 37.2608775 58.6745114, 37.2609367 58.6744486, 37.260873 58.6744323, 37.2608138 58.6744952))",,,,,,"[5904098793, 5904098794, 5904098795, 5904098796, 5904098793]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292514,,,"POLYGON ((37.2613079 58.6746609, 37.2614267 58.6747124, 37.2615794 58.6746174, 37.2614605 58.6745658, 37.2613079 58.6746609))",,,,,,"[5904098798, 5904098799, 5904098800, 5904098801, 5904098798]",,,2Г,,улица Салтыкова-Щедрина,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292516,,,"POLYGON ((37.2610319 58.6746085, 37.2611112 58.6746346, 37.2611484 58.6746039, 37.2610692 58.6745779, 37.2610319 58.6746085))",,,,,,"[5904098802, 5904098803, 5904098804, 5904098805, 5904098802]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292518,,,"POLYGON ((37.2611477 58.6747393, 37.2612718 58.6747754, 37.2613033 58.6747462, 37.2611792 58.67471, 37.2611477 58.6747393))",,,,,,"[5904098806, 5904098807, 5904098808, 5904098809, 5904098806]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,625292520,,,"POLYGON ((37.2611866 58.6747012, 37.2612845 58.6747333, 37.2613304 58.6746955, 37.2612325 58.6746633, 37.2611866 58.6747012))",,,,,,"[5904098810, 5904098811, 5904098812, 5904098813, 5904098810]",,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
